voiced_ms,visible_active_speech_ratio,unexplained_speech_ratio,longest_unexplained_speech_ms,static_speech_ratio,asd_disagreement_ratio,temporal_decision,temporal_reason,static_ms,voiceover_ms,ambiguous_ms,longest_static_ms,longest_voiceover_ms,clip_id,model_versions,config_hash
8600,1.0,0.0,0,0.0,0.0,pass,,0,0,0,0,0,VgGwgxT1hm0_s0000691618_e0000701182,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
4000,0.9,0.05,200,0.05,0.0,pass,,200,0,200,200,0,wttuvGomhr4_s0000919426_e0000923262,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
2800,0.0,1.0,2800,0.0,0.0,reject,voiceover,0,2800,0,0,2800,9hVB2KmcCtk_s0000051906_e0000054526,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
11800,0.0,0.9830508474576272,11600,0.8305084745762712,0.0,manual,inference_failure,9800,1800,0,2800,600,cyi8OGHa_28_s0000277378_e0000288990,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
2400,0.5,0.0,0,0.0,0.0,manual,ambiguous,0,0,1200,0,0,O13c0GdEtyY_s0000738562_e0000740926,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
5200,0.0,1.0,5200,0.7692307692307693,0.0,reject,static,4000,1200,0,3200,600,2BJx-TsUgw8_s0000181730_e0000186782,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
6200,0.9032258064516129,0.0967741935483871,200,0.0,0.0,pass,,0,600,0,0,200,2xU2t0CyIJ4_s0000018818_e0000025022,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
3200,0.9375,0.0625,200,0.0,0.0,pass,,0,200,0,0,200,zfRcxNy23l0_s0000462370_e0000465534,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
9400,0.8936170212765957,0.10638297872340426,400,0.0,0.0,pass,,0,1000,0,0,400,ucLlKRrtTN8_s0000616738_e0000626078,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
6200,0.0,1.0,6200,0.5483870967741935,0.0,reject,static,3400,2800,0,3400,2800,dFDTb0t_Nho_s0000314242_e0000320414,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":{""backbone"":""LoCoNet+LASER"",""config_hash"":""d730b6e6da2391182916037fbe64fc4fb88b0efdaccb934b487958159097fe5a"",""coverage_passed"":true,""elapsed_seconds"":140.22,""failure_rows"":0,""missing_bins"":0,""model_git_sha"":""3703d3f396cc7b29aa704364f8a9a5ab0c8c1fb9"",""official_config_sha256"":""221276a2b4899b7d08a58651f15843e790bfee0f7e93f32f6183d371d0a17446"",""official_repo"":""https://github.com/plnguyen2908/LASER_ASD"",""preprocessing"":{""bin_aggregation"":""max_of_per_track_median_probability_v1"",""det_size"":640,""detect_every"":2,""face_crop"":""official_demo_square_padding_0.775"",""face_size"":112,""fps"":25,""landmarks_at_inference"":false,""logit_conversion"":""two_class_softmax_speaking_probability"",""min_track_frames"":5,""sample_rate"":16000,""speaker_context"":""primary_plus_two_overlap_deterministic_v1"",""tracker"":""insightface_greedy_iou_0.25_interp_v1""},""request_config_sha256"":""6ce5e9ec56a2ce1ca3db722264c240321754300abbd1e83affeb5e2cb01ec92f"",""request_csv_sha256"":""875f66b2be3ee255022e2546dc6a48cbeb1232fb6d3724b5dcd3a6aa6f8c8cba"",""requested_bins"":228,""requested_clips"":30,""runner_sha256"":""eb90278d661fd7ef4f09d515589a0e8a99e8dc5012a5687853880c1e8fe6c73d"",""schema"":""laser_sidecar_v1"",""score_semantics"":""maximum across face tracks of the median per-frame speaking probability inside each requested 200 ms bin"",""scored_bins"":228,""weights_sha256"":""1702df2cc9a6976e4193dcd78d468d3a0f3afc7a926891e0376cc6d2ea72cc1f""},""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",f6cc26842c0409da1523d3b9a333e8eeca98e55cefe85fbb61e94dee83cdd0b6
