voiced_ms,visible_active_speech_ratio,unexplained_speech_ratio,longest_unexplained_speech_ms,static_speech_ratio,asd_disagreement_ratio,temporal_decision,temporal_reason,static_ms,voiceover_ms,ambiguous_ms,longest_static_ms,longest_voiceover_ms,clip_id,model_versions,config_hash
8600,0.9534883720930233,0.0,0,0.0,0.0,pass,,0,0,400,0,0,VgGwgxT1hm0_s0000691618_e0000701182,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
4000,0.9,0.05,200,0.05,0.0,pass,,200,0,200,200,0,wttuvGomhr4_s0000919426_e0000923262,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
2800,0.0,0.14285714285714285,200,0.0,0.0,manual,ambiguous,0,400,2400,0,200,9hVB2KmcCtk_s0000051906_e0000054526,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
11800,0.0,0.2033898305084746,1600,0.1694915254237288,0.0,manual,inference_failure,2000,400,9200,1600,400,cyi8OGHa_28_s0000277378_e0000288990,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
2400,0.5,0.0,0,0.0,0.0,manual,ambiguous,0,0,1200,0,0,O13c0GdEtyY_s0000738562_e0000740926,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
5200,0.0,0.6153846153846154,2000,0.5,0.0,manual,ambiguous,2600,600,2000,2000,400,2BJx-TsUgw8_s0000181730_e0000186782,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
6200,0.5483870967741935,0.0967741935483871,200,0.0,0.0,manual,ambiguous,0,600,2200,0,200,2xU2t0CyIJ4_s0000018818_e0000025022,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
3200,0.625,0.0625,200,0.0,0.0,manual,ambiguous,0,200,1000,0,200,zfRcxNy23l0_s0000462370_e0000465534,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
9400,0.8297872340425532,0.06382978723404255,400,0.0,0.0,pass,,0,600,1000,0,400,ucLlKRrtTN8_s0000616738_e0000626078,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
6200,0.0,0.8387096774193549,2800,0.4838709677419355,0.0,reject,static,3000,2200,1000,2800,2200,dFDTb0t_Nho_s0000314242_e0000320414,"{""insightface_detector_file"":""det_10g.onnx"",""insightface_detector_sha256"":""5838f7fe053675b1c7a08b633df49e7af5495cee0493c7dcf6697200b85b5b91"",""insightface_package_version"":""1.0.1"",""laser_model"":null,""light_asd_git_sha"":""ed38c232de5efe0261dbd68627c0ade7cdfe14eb"",""light_asd_repo"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\Light-ASD"",""light_weights_sha256"":""d44bc3ea7baa8e0946fa3921311714a630ed8b90a1928fab0dbe30d918909317"",""onnxruntime_package_version"":""1.23.2"",""preprocessing_config_hash"":""b25d7fed121420a8b678defe9e735a0d4c61517d2082dea739b58493d09ab60b"",""silero_git_sha"":""867c2aa692646a1f1de3e94a15c9dd9f614c0acb"",""silero_source"":""C:\\Users\\ACER\\AppData\\Local\\Temp\\vn_av_df_asd_refs\\silero-vad"",""silero_weights_sha256"":""7ed98ddbad84ccac4cd0aeb3099049280713df825c610a8ed34543318f1b2c49""}",b9d585e152da85190f814c6029261fb8121c6bdd1526be0502bec368e64dbf8d
